birth,car,city,class,class_10_after,class_10_before,class_14,county,daughter,depression,edu,equity,f_birth,f_edu,f_political,f_work_14,family_income,family_m,family_status,floor_area,gender,happiness,health,health_problem,height_cm,house,hukou,hukou_loc,inc_ability,inc_exp,income,insur_1,insur_2,insur_3,insur_4,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,invest_other,join_party,learn,leisure_1,leisure_10,leisure_11,leisure_12,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,m_birth,m_edu,m_political,m_work_14,marital,marital_1st,marital_now,media_1,media_2,media_3,media_4,media_5,media_6,minor_child,nationality,neighbor_familiarity,political,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,property_other,province,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,relax,religion,religion_freq,s_birth,s_edu,s_hukou,s_income,s_political,s_work_exper,s_work_status,s_work_type,socia_outing,social_friend,social_neighbor,socialize,son,status_3_before,status_peer,survey_type,trust_1,trust_10,trust_11,trust_12,trust_13,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,view,weight_jin,work_exper,work_manage,work_status,work_type,work_yr,age
1962,1,57,6,6,4,4,92,0,4,4,4,-2,1,1,2,200000.0,5,3,120.0,1,4.0,4,4,178,4,1,1.0,2,60000.0,30000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,5,5,4,3,-2,1,1,2,3,1985.0,1985.0,1,1,1,5,1,1,0.0,1,4,1,0,1,0,0,0,0,0,0,0,0,19,85,85.0,85,85,85.0,80,70,85,85,3,1,1,1969.0,3.0,1.0,0.0,1.0,5.0,0.0,0.0,2,4.0,2.0,4,1,1,2,1,4,3,4,4,3,4,4,4,5,4,4,4,3,3,130,1,3.0,3.0,1.0,20.0,53
1967,2,1,3,3,3,2,4,0,5,9,3,1930,4,1,1,96000.0,1,4,72.3,2,1.0,3,4,168,1,2,1.0,2,-3.0,96000,1,2,1,2,0,1,0,0,0,0,0,0,0,0,1,2,1,5,5,1,5,4,1,5,2,5,5,5,1939,3,1,-8,1,0.0,0.0,3,2,3,4,5,5,0.0,1,1,4,0,1,0,0,0,0,0,0,0,0,1,70,80.0,90,70,80.0,80,70,80,70,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,4.0,2,0,2,3,1,3,1,1,1,1,4,3,3,3,3,3,2,1,3,120,1,2.0,3.0,1.0,25.0,48
1997,1,87,8,10,4,4,131,0,3,4,4,1973,4,1,2,0.0,3,3,80.0,1,5.0,5,5,168,1,1,2.0,2,30000.0,0,1,-1,2,-1,0,1,0,0,0,0,0,0,0,0,0,4,1,5,5,1,5,4,5,5,4,3,1,1,1974,4,1,2,1,0.0,0.0,1,1,1,5,5,2,0.0,1,5,1,0,0,0,0,1,0,0,0,0,0,31,100,100.0,100,90,100.0,100,100,100,100,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,4,0,1,2,2,5,5,3,4,1,2,2,2,5,1,2,2,4,5,96,4,0.0,0.0,0.0,0.0,18
1968,2,12,3,4,3,2,28,0,4,3,4,-2,1,1,2,20000.0,1,3,200.0,1,3.0,4,4,167,1,1,1.0,2,50000.0,10000,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,5,5,5,5,5,5,3,5,5,5,-2,1,1,2,3,1992.0,1992.0,1,1,1,5,1,1,0.0,1,4,1,0,1,0,0,0,0,0,0,0,0,6,80,80.0,80,80,80.0,80,80,80,80,4,1,1,1968.0,1.0,1.0,10000.0,1.0,1.0,3.0,1.0,1,7.0,7.0,3,1,2,3,2,4,3,-8,-8,1,4,4,4,4,4,4,4,3,4,140,1,4.0,2.0,1.0,28.0,47
1965,1,32,3,4,1,1,61,0,3,4,1,-2,1,1,2,-2.0,2,3,100.0,2,4.0,2,2,158,2,1,1.0,-8,-2.0,10000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,4,4,5,3,-2,3,1,2,3,1990.0,1990.0,1,1,1,4,1,1,0.0,1,4,1,0,0,1,0,0,0,0,0,0,0,12,60,50.0,50,50,60.0,50,50,70,70,2,0,1,1965.0,4.0,1.0,-2.0,1.0,2.0,0.0,0.0,2,5.0,2.0,3,1,1,3,1,2,2,-8,-8,1,2,2,2,4,-8,2,2,2,4,102,2,0.0,0.0,0.0,0.0,50
1950,2,20,5,5,4,5,42,3,3,3,2,-2,3,1,5,120000.0,2,3,150.0,2,5.0,4,3,150,1,1,1.0,2,5000.0,720,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,4,5,5,4,5,5,3,5,-2,1,1,2,7,1968.0,0.0,1,1,1,5,1,1,0.0,1,5,1,0,0,0,1,0,0,0,0,0,0,9,80,60.0,50,60,60.0,70,80,80,80,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,2.0,4,1,1,2,2,3,3,3,3,1,3,2,2,2,2,2,2,4,4,85,3,0.0,0.0,0.0,0.0,65
1952,2,43,3,3,4,2,74,1,4,4,3,-2,1,1,16,36000.0,2,2,93.0,2,4.0,4,4,165,0,4,1.0,2,30000.0,0,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,4,5,5,4,5,5,4,4,4,2,-2,1,1,2,3,1972.0,1972.0,1,1,1,5,1,1,0.0,1,2,1,0,0,0,1,0,0,0,0,0,0,15,60,30.0,60,50,70.0,80,70,100,40,4,0,5,1949.0,4.0,5.0,36000.0,4.0,5.0,0.0,0.0,1,6.0,7.0,2,1,2,2,1,2,2,2,2,1,2,2,2,4,-8,1,4,2,3,100,5,0.0,0.0,0.0,0.0,63
1942,2,81,7,9,5,5,122,0,4,1,4,-2,1,-8,2,30000.0,4,3,115.0,2,4.0,4,4,150,1,1,4.0,2,5000.0,3660,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,2,5,5,4,5,5,5,-2,-8,-8,2,7,-2.0,0.0,1,1,1,3,1,1,0.0,1,2,1,0,0,0,1,0,0,0,0,0,0,28,80,75.0,85,85,85.0,74,75,75,80,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,2.0,1,3,2,2,1,3,3,-8,-8,1,3,5,4,3,-8,1,-8,3,3,75,4,0.0,0.0,0.0,0.0,73
1972,2,24,4,6,2,3,46,1,4,4,4,1933,1,1,2,50000.0,4,2,200.0,1,4.0,5,5,170,1,4,1.0,2,150000.0,50000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,4,4,5,5,1932,1,1,2,3,1997.0,1997.0,1,1,1,4,1,1,2.0,1,5,1,0,0,0,0,1,0,0,0,0,0,10,100,100.0,80,80,80.0,80,80,80,80,3,1,1,1972.0,3.0,4.0,0.0,1.0,5.0,0.0,0.0,1,4.0,4.0,2,1,2,2,1,5,4,4,4,4,4,5,5,5,5,4,5,4,4,160,1,3.0,5.0,1.0,25.0,43
1967,2,7,5,5,2,2,21,0,5,3,3,-2,6,4,16,-2.0,4,2,12.0,2,5.0,1,5,170,1,1,3.0,2,20000.0,10000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,1,5,5,3,3,4,3,3,1,5,-2,3,1,2,3,1987.0,1987.0,2,2,2,4,2,1,0.0,1,5,1,0,0,0,0,0,0,0,0,1,0,4,85,100.0,60,-2,85.0,85,60,-2,85,3,1,1,1967.0,3.0,1.0,-2.0,1.0,5.0,0.0,0.0,1,2.0,1.0,4,2,3,3,1,3,4,-8,-8,1,3,3,3,4,3,2,3,2,5,140,1,3.0,3.0,1.0,15.0,48
1946,2,27,6,5,7,7,49,0,3,12,2,1905,10,1,1,84000.0,2,3,120.0,2,4.0,3,3,158,1,2,1.0,4,100000.0,42000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,1,3,2,5,5,4,5,4,1,4,4,4,4,4,1913,7,1,1,3,1973.0,1973.0,4,4,3,4,2,1,0.0,1,3,4,0,0,1,0,0,0,0,0,0,0,10,50,60.0,50,50,50.0,50,60,60,70,4,1,1,1945.0,12.0,2.0,42000.0,4.0,5.0,0.0,0.0,2,5.0,5.0,2,2,2,2,1,5,3,3,4,2,3,2,3,4,4,3,4,3,4,140,5,0.0,0.0,0.0,0.0,69
1955,2,57,7,7,5,5,91,1,5,4,4,1919,3,1,1,300000.0,3,4,60.0,2,5.0,4,4,163,1,5,1.0,2,40000.0,40000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,3,1,5,5,1,5,3,1,5,3,3,5,1,1918,2,1,15,3,1982.0,1982.0,5,2,1,5,5,1,0.0,1,2,1,0,1,0,0,0,0,0,0,0,0,19,90,90.0,90,95,90.0,90,90,100,95,3,1,1,1957.0,4.0,5.0,80000.0,1.0,1.0,8.0,1.0,2,4.0,6.0,2,0,2,2,1,4,3,-8,-8,1,4,4,4,4,4,2,4,3,4,120,5,0.0,0.0,0.0,0.0,60
1968,2,20,4,4,3,2,42,2,4,1,2,1935,1,1,2,20000.0,2,2,85.0,2,3.0,2,3,147,2,1,1.0,2,30000.0,20000,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,3,5,5,2,5,4,5,5,4,4,4,5,1940,1,1,2,3,1987.0,1987.0,1,1,1,2,3,1,0.0,1,5,1,0,0,1,0,0,0,0,0,0,0,9,80,80.0,60,70,70.0,70,60,70,70,2,1,1,1967.0,4.0,1.0,0.0,1.0,1.0,5.0,1.0,1,3.0,2.0,1,0,2,3,2,3,2,2,2,2,2,2,2,5,3,3,3,2,4,92,2,0.0,0.0,0.0,0.0,47
1956,1,57,5,5,5,3,93,1,4,3,3,-2,1,1,5,50000.0,7,2,130.0,1,4.0,2,1,175,1,1,1.0,2,-2.0,5000,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,4,4,5,3,-2,1,1,2,3,1981.0,1981.0,1,1,1,5,1,1,0.0,1,4,1,0,0,0,1,0,0,0,0,0,0,19,60,60.0,50,70,60.0,60,80,60,60,4,0,1,1959.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2,3.0,2.0,1,1,2,2,1,2,2,-8,-8,1,2,2,2,-8,-8,-8,3,2,4,146,4,0.0,0.0,0.0,0.0,59
1962,1,26,4,9,5,6,48,1,4,4,3,-2,1,1,2,60000.0,2,3,200.0,2,4.0,4,4,165,2,1,1.0,2,100000.0,15000,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,4,3,5,4,3,4,4,4,5,4,-2,1,1,2,3,1984.0,1984.0,3,2,3,5,3,2,0.0,1,4,1,0,0,0,0,0,0,0,0,1,0,10,70,70.0,60,70,60.0,70,50,60,60,3,1,1,1960.0,4.0,1.0,45000.0,1.0,1.0,2.0,1.0,2,4.0,4.0,2,1,2,2,1,4,4,-8,4,1,4,4,4,5,5,3,4,4,4,145,1,4.0,2.0,1.0,20.0,53
1973,1,7,7,6,7,6,16,0,3,4,4,1940,3,4,3,200000.0,3,3,60.0,2,3.0,3,3,165,2,1,2.0,2,500000.0,150000,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,2,4,4,5,1,4,3,3,4,3,2,2,4,1941,3,1,2,3,1995.0,1995.0,2,3,2,2,4,4,0.0,1,2,1,0,1,0,0,0,0,0,0,0,0,4,60,50.0,50,50,50.0,20,30,50,50,3,0,4,1970.0,4.0,1.0,80000.0,1.0,1.0,7.0,1.0,2,2.0,7.0,2,1,2,2,1,4,4,4,5,3,4,4,4,5,5,4,5,4,4,106,1,2.0,7.0,2.0,23.0,42
1989,2,78,3,4,2,2,118,0,4,10,2,1964,4,4,1,60000.0,3,2,57.0,1,4.0,5,4,170,2,5,1.0,3,100000.0,30000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,3,1,5,5,1,5,5,5,4,4,2,4,4,1966,4,1,1,1,0.0,0.0,1,1,3,4,5,2,0.0,1,3,1,0,0,0,0,1,0,0,0,0,0,27,0,60.0,70,70,50.0,60,70,70,70,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,6.0,3,0,1,2,1,2,2,-8,2,1,2,2,2,4,3,3,3,2,4,150,1,3.0,3.0,1.0,3.0,26
1996,2,71,5,9,-8,5,111,0,4,4,4,-2,6,1,2,80000.0,1,3,90.0,1,5.0,5,5,165,2,1,1.0,2,90000.0,18000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,3,2,5,5,1,3,2,5,5,2,2,1,3,-2,3,1,2,1,0.0,0.0,1,1,1,3,5,1,0.0,1,4,1,0,0,0,0,1,0,0,0,0,0,24,70,60.0,60,50,70.0,60,70,80,80,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,4,0,2,2,2,5,4,-8,2,2,4,5,5,5,4,3,3,3,4,114,1,3.0,5.0,1.0,3.0,19
1949,2,52,1,1,1,1,85,0,3,1,3,-2,1,1,2,1000.0,1,1,100.0,1,3.0,2,3,167,1,1,1.0,3,20000.0,1000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,4,5,5,5,5,5,5,-2,1,1,2,1,0.0,0.0,1,1,4,1,1,1,0.0,1,4,1,0,1,0,0,0,0,0,0,0,0,18,90,70.0,90,90,90.0,70,70,90,90,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0,7.0,2,0,2,3,2,5,3,3,3,2,3,5,5,5,5,2,5,5,4,90,4,0.0,0.0,0.0,0.0,66
1965,1,29,4,6,5,5,52,1,3,4,2,1939,3,1,2,120000.0,3,3,80.0,2,3.0,4,5,160,1,1,3.0,3,35000.0,30000,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,3,5,5,3,3,5,5,4,5,5,1941,3,1,2,3,1985.0,1985.0,3,3,1,4,1,1,0.0,1,4,1,0,1,0,0,0,0,0,0,0,0,11,70,75.0,60,50,50.0,60,70,70,70,4,1,1,1960.0,1.0,1.0,40000.0,1.0,1.0,3.0,2.0,2,5.0,2.0,4,1,3,2,1,2,3,-8,-8,1,1,4,2,5,2,1,4,2,4,140,1,3.0,5.0,1.0,3.0,50
1976,2,87,4,6,7,2,131,0,3,4,1,1945,1,1,2,50000.0,3,2,70.0,2,5.0,3,4,155,1,1,1.0,3,30000.0,10000,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,4,5,5,4,4,5,5,1955,1,1,2,3,1997.0,1997.0,1,1,1,5,1,1,1.0,1,3,1,0,0,1,0,0,0,0,0,0,0,31,0,40.0,20,50,0.0,0,0,20,0,2,1,1,1978.0,3.0,1.0,40000.0,1.0,2.0,0.0,0.0,1,5.0,3.0,2,1,3,2,1,4,2,2,1,1,4,4,4,4,4,4,4,1,3,110,2,0.0,0.0,0.0,0.0,39
1941,2,82,7,8,3,1,124,2,3,1,3,1901,1,1,2,50000.0,4,3,100.0,2,4.0,2,2,160,1,4,2.0,-8,-2.0,1800,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,5,5,5,5,5,5,5,5,5,5,5,5,1906,1,1,2,3,1962.0,1962.0,1,1,1,3,1,1,0.0,1,2,1,0,0,1,0,0,0,0,0,0,0,29,70,70.0,80,80,80.0,70,70,70,80,4,1,1,1941.0,4.0,4.0,50000.0,1.0,5.0,0.0,0.0,1,4.0,4.0,2,2,2,2,1,3,2,2,2,1,4,4,4,4,3,2,2,2,3,150,4,0.0,0.0,0.0,0.0,74
1936,2,1,6,6,6,5,1,1,4,10,4,1916,3,1,1,58000.0,1,3,44.0,2,4.0,3,4,163,1,2,1.0,2,120000.0,58000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,5,5,4,4,2,5,4,4,4,5,1917,3,1,1,7,1960.0,0.0,4,2,3,5,1,1,0.0,1,3,1,0,1,0,0,0,0,0,0,0,0,1,60,60.0,60,50,60.0,60,60,60,60,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,6.0,2,1,2,2,1,4,3,-8,3,2,3,-8,-8,4,4,3,4,2,4,130,5,0.0,0.0,0.0,0.0,79
1982,2,53,5,5,10,3,87,3,5,3,4,-2,10,4,1,20000.0,4,3,300.0,2,4.0,5,5,158,1,1,1.0,2,50000.0,0,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,4,4,4,3,5,5,5,5,2,5,-2,4,1,1,3,2004.0,2004.0,1,2,3,4,5,1,3.0,1,3,1,0,1,0,0,0,0,0,0,0,0,18,70,80.0,90,70,50.0,80,50,50,50,3,0,3,1985.0,4.0,1.0,20000.0,1.0,1.0,3.0,1.0,1,1.0,6.0,4,0,2,2,2,4,4,4,2,1,3,4,2,5,4,2,4,2,3,140,5,0.0,0.0,0.0,0.0,33
1954,2,53,4,6,3,2,87,0,4,6,4,-2,3,1,1,6000.0,3,2,72.0,2,4.0,4,4,160,1,5,1.0,3,-2.0,2500,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,5,5,5,1,2,5,4,5,5,5,-2,1,1,1,3,1979.0,1979.0,5,1,1,5,1,1,0.0,1,5,1,0,0,1,0,0,0,0,0,0,0,18,65,80.0,80,80,80.0,85,75,65,65,3,1,1,1953.0,6.0,5.0,3000.0,1.0,5.0,0.0,0.0,1,6.0,6.0,2,1,1,2,1,5,-8,-8,-8,2,4,-8,-8,5,4,3,-8,3,3,120,5,0.0,0.0,0.0,0.0,61
1980,1,34,6,8,3,2,64,1,5,9,4,1945,4,1,2,-3.0,5,3,89.0,1,4.0,5,5,169,1,4,1.0,2,10000000.0,-3,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,3,3,4,5,1,4,4,3,3,3,2,2,3,1950,1,1,2,3,2006.0,2006.0,2,3,1,2,5,2,3.0,1,2,1,0,1,0,0,0,0,0,0,0,0,12,70,60.0,60,60,60.0,60,60,70,50,4,1,1,1984.0,6.0,4.0,-3.0,1.0,5.0,0.0,0.0,6,3.0,6.0,3,2,2,1,1,4,3,4,4,3,4,4,4,4,5,4,4,4,3,120,1,1.0,2.0,1.0,10.0,35
1981,2,89,1,1,8,5,134,0,5,4,1,1954,1,1,2,6000.0,4,2,54.0,2,4.0,3,4,161,0,1,2.0,3,100000.0,0,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,2,2,5,5,3,5,3,4,2,5,5,2,5,1950,1,1,2,4,1999.0,2012.0,2,2,3,4,2,1,2.0,1,2,1,0,0,0,0,0,1,0,0,0,0,31,80,80.0,0,50,60.0,80,80,70,70,3,1,1,1977.0,4.0,2.0,6000.0,1.0,1.0,5.0,1.0,1,3.0,2.0,1,2,3,3,1,4,3,-8,3,1,3,2,1,4,1,2,4,4,3,110,5,0.0,0.0,0.0,0.0,34
1967,1,72,5,7,3,6,112,0,5,12,4,1942,3,4,1,200000.0,2,3,125.0,2,5.0,4,5,160,2,4,1.0,2,12000.0,50000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,1,2,1,4,5,1,4,3,3,3,4,3,3,3,1946,4,1,1,3,1987.0,1987.0,3,2,2,4,4,2,0.0,1,4,4,0,1,0,0,0,0,0,0,0,0,24,80,60.0,55,60,55.0,70,60,70,70,4,1,1,1963.0,10.0,4.0,75000.0,4.0,1.0,3.0,1.0,1,5.0,5.0,2,1,1,1,1,4,4,2,4,1,4,4,3,5,3,2,4,4,3,130,1,2.0,3.0,1.0,32.0,48
1955,2,45,5,5,5,5,76,1,4,1,4,-2,1,1,2,20000.0,6,3,100.0,1,4.0,4,4,170,1,1,1.0,2,100000.0,5000,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,4,4,5,1,-2,1,1,2,3,1980.0,1980.0,1,1,1,4,1,1,0.0,1,5,1,0,1,0,0,0,0,0,0,0,0,16,100,100.0,100,100,100.0,100,100,100,100,3,1,1,1957.0,1.0,1.0,5000.0,1.0,4.0,0.0,0.0,1,1.0,1.0,4,1,2,2,1,5,-8,-8,-8,3,5,5,5,5,-8,5,4,4,3,120,3,0.0,0.0,0.0,0.0,60
1932,2,13,3,3,3,3,29,1,3,1,3,-2,1,1,2,20000.0,1,2,50.0,1,3.0,2,3,155,1,1,1.0,2,50000.0,5000,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,4,3,5,5,4,3,5,4,-2,1,1,2,3,1952.0,1952.0,1,1,2,4,1,1,0.0,1,3,1,0,1,0,0,0,0,0,0,0,0,6,80,80.0,80,80,80.0,80,80,80,80,3,1,1,1937.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2,3.0,3.0,3,1,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,80,4,0.0,0.0,0.0,0.0,83
1994,1,79,5,5,8,5,119,0,3,4,2,1965,4,1,1,80000.0,2,4,50.0,1,4.0,5,5,162,3,1,1.0,2,-2.0,48000,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,4,5,5,1,3,3,5,4,4,1,1,5,1963,3,1,15,1,0.0,0.0,1,1,1,2,5,1,0.0,1,2,1,0,0,0,0,0,0,0,0,1,0,27,50,50.0,50,60,50.0,60,50,60,50,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,7.0,5,0,1,2,1,3,3,3,3,2,3,4,4,5,4,4,4,3,5,125,1,3.0,3.0,1.0,6.0,21
1950,2,57,4,4,4,3,93,1,5,3,2,-2,1,1,2,80000.0,6,3,120.0,1,4.0,4,5,172,1,1,1.0,3,40000.0,20000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,4,5,5,1,-2,1,1,2,3,1980.0,1980.0,2,1,1,5,1,1,0.0,1,5,1,0,1,0,1,0,0,0,0,0,0,19,70,70.0,60,80,50.0,70,70,-2,60,4,1,1,1958.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2,7.0,6.0,2,0,2,2,2,2,-8,-8,-8,1,2,2,2,4,2,2,4,2,4,150,1,3.0,3.0,1.0,48.0,65
1958,2,84,4,4,3,2,127,1,3,3,4,-2,1,1,2,10000.0,2,2,40.0,1,4.0,2,3,150,1,1,1.0,3,20000.0,8000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,2,5,5,5,5,4,5,5,4,5,4,5,-2,1,1,2,3,-2.0,-2.0,1,1,1,3,1,1,0.0,1,4,1,0,1,0,0,0,0,0,0,0,0,29,80,80.0,80,80,80.0,80,80,80,80,2,1,1,1962.0,1.0,1.0,20000.0,1.0,3.0,0.0,0.0,1,3.0,3.0,2,0,2,3,2,4,-8,-8,-8,2,4,4,4,4,4,4,4,4,4,105,3,0.0,0.0,0.0,0.0,57
1956,2,5,3,4,3,2,12,0,3,3,4,1929,1,1,2,28000.0,5,2,90.0,1,4.0,2,3,156,1,1,1.0,3,-2.0,12000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,4,5,5,3,5,3,3,3,4,5,1929,1,1,2,3,1975.0,1975.0,1,1,5,4,1,1,0.0,8,4,1,0,1,1,0,0,0,0,0,0,0,2,80,85.0,75,75,75.0,80,85,80,90,3,1,1,1955.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,1,3.0,3.0,4,2,2,3,2,4,2,2,3,1,4,4,4,5,3,2,3,2,3,104,4,0.0,0.0,0.0,0.0,59
1990,2,81,5,6,4,4,121,1,3,6,2,1966,4,1,12,40000.0,5,3,70.0,2,4.0,4,4,150,0,1,3.0,2,20000.0,0,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,2,2,5,5,2,4,3,4,4,4,4,3,3,1969,4,1,2,3,2009.0,2009.0,1,1,1,3,3,2,2.0,1,2,1,0,0,0,0,0,0,0,0,1,0,28,80,80.0,70,80,70.0,60,60,70,70,2,1,1,1978.0,6.0,1.0,20000.0,1.0,1.0,3.0,1.0,2,5.0,5.0,2,1,1,2,1,1,-8,-8,-8,1,1,5,3,5,4,3,5,4,3,100,1,3.0,3.0,1.0,1.0,25
1986,2,36,5,5,5,5,67,0,4,12,4,1955,4,1,1,50000.0,3,3,150.0,2,4.0,4,5,160,1,2,1.0,2,100000.0,50000,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,2,3,3,3,3,2,3,3,3,1963,4,1,1,1,0.0,0.0,2,2,2,2,4,4,0.0,1,4,1,0,0,0,0,1,0,0,0,0,0,13,80,80.0,70,90,80.0,90,80,80,80,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2.0,2.0,4,0,1,2,1,4,3,3,3,3,4,-8,4,4,4,3,4,3,3,104,1,1.0,2.0,1.0,6.0,29
1965,2,85,5,5,4,3,128,2,5,9,3,1936,7,1,1,100000.0,3,3,70.0,1,4.0,4,3,173,2,2,3.0,1,300000.0,100000,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,4,5,2,5,1,2,4,4,4,3,1,1946,1,1,5,3,1991.0,1991.0,3,1,3,5,2,1,0.0,5,2,1,0,1,0,0,0,0,0,0,0,0,30,60,70.0,90,80,80.0,90,80,70,80,4,0,3,1969.0,3.0,2.0,0.0,1.0,5.0,0.0,0.0,1,4.0,5.0,2,0,1,3,1,5,2,4,4,3,3,4,4,4,4,4,4,4,4,160,5,0.0,0.0,0.0,0.0,50
1959,1,32,4,5,5,7,61,0,4,12,2,-2,7,1,1,250000.0,3,4,103.0,1,4.0,4,4,170,2,5,1.0,3,200000.0,150000,1,2,1,1,0,0,1,1,0,0,0,0,0,0,1,3,2,5,5,1,4,3,1,5,4,3,1,1,-2,6,1,1,3,2006.0,2006.0,4,3,1,3,4,1,1.0,1,3,4,0,1,1,0,0,0,0,0,0,0,12,70,70.0,70,60,60.0,60,60,70,60,4,1,1,1970.0,12.0,4.0,100000.0,4.0,1.0,3.0,1.0,3,4.0,4.0,3,1,2,3,1,4,-8,-8,3,2,3,3,3,4,4,3,4,4,4,120,1,2.0,3.0,1.0,30.0,56
1939,2,75,6,6,5,4,115,2,4,3,4,1912,1,1,2,84000.0,5,3,35.0,1,4.0,4,4,157,1,2,2.0,2,100000.0,30000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,5,5,5,4,4,4,4,1,4,1,1917,1,1,2,3,1958.0,1958.0,2,2,2,4,2,2,0.0,1,4,1,0,0,0,0,0,0,0,0,1,0,26,80,50.0,80,80,80.0,80,80,80,80,4,1,1,1942.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,1,1.0,1.0,4,2,2,2,1,4,3,2,2,1,4,4,4,4,4,3,3,3,3,144,5,0.0,0.0,0.0,0.0,76
1975,2,39,4,4,3,2,70,1,4,4,4,1946,1,1,2,70000.0,3,3,240.0,1,4.0,4,4,170,1,1,1.0,2,100000.0,60000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,2,5,5,5,5,5,5,5,3,5,4,4,1948,1,1,2,3,1997.0,1997.0,2,2,2,4,1,1,1.0,1,4,1,0,1,0,0,0,0,0,0,0,0,15,60,60.0,70,50,60.0,60,70,60,70,4,1,1,1974.0,3.0,1.0,10000.0,1.0,1.0,5.0,2.0,2,2.0,2.0,2,0,1,2,1,5,3,3,3,3,5,5,5,5,5,4,5,4,3,150,1,3.0,3.0,1.0,7.0,40
